ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
22,1,timeout,15.0,0.11747027188539505,0.2121642380952835,0.024468928575515747,0.026761895045638084,0.02076464312137927,0.11708661168813705,134.75,171.5887908935547
23,1,timeout,15.0,0.10695376247167587,0.2254439741373062,0.040881264954805374,0.030610177665948868,0.02033492221843152,0.12218131124973297,133.5,163.8650360107422
24,1,timeout,15.0,0.12130134552717209,0.20081980526447296,0.025176886469125748,0.026404039934277534,0.01939178937856528,0.12484217435121536,138.0,172.60000610351562
25,1,timeout,15.0,0.10322266817092896,0.2237776219844818,0.005142822861671448,0.030636273324489594,0.025778512002809322,0.12055011093616486,138.25,167.44041442871094
26,1,timeout,15.0,0.11889663338661194,0.17983955144882202,0.017995992675423622,0.02545337751507759,0.017491067909226325,0.12524281442165375,134.0,200.68206787109375
27,1,timeout,15.0,0.10667310655117035,0.2035784125328064,0.006395265460014343,0.024299412965774536,0.020564071407129073,0.12131136655807495,138.5,182.3587646484375
28,1,timeout,15.0,0.12697546184062958,0.21265354752540588,0.08222030103206635,0.03306077793240547,0.027653619326499967,0.1189427301287651,127.5,117.11134338378906
29,1,timeout,15.0,0.10934288799762726,0.21621975302696228,0.03103260137140751,0.027659937739372253,0.02243659098013003,0.11863266676664352,131.0,132.2642822265625
30,1,timeout,15.0,0.10478287935256958,0.19503922760486603,0.0588807538151741,0.026819797232747078,0.026147584381755202,0.12377902120351791,137.0,174.46768188476562
31,1,timeout,15.0,0.1107197254896164,0.1971656084060669,0.034183189272880554,0.02501925453543663,0.01983727466327921,0.12237496674060822,136.5,172.01864624023438
32,1,timeout,15.0,0.12484341114759445,0.192647784948349,0.04648850858211517,0.02899724617600441,0.027211913449860726,0.11992964893579483,135.5,172.030029296875
33,1,timeout,15.0,0.11341024935245514,0.16985201835632324,0.055711425840854645,0.023656534031033516,0.016766333656206417,0.12610021233558655,134.0,186.97036743164062
34,1,timeout,15.0,0.13245438039302826,0.16701704263687134,0.0021894739475101233,0.024248426780104637,0.017298617867224572,0.11994369328022003,138.0,213.4965057373047
35,1,timeout,15.0,0.10938698053359985,0.17970065772533417,0.0736052542924881,0.027817174792289734,0.01789274372745582,0.12411852180957794,132.75,164.35968017578125
36,1,timeout,15.0,0.11808536946773529,0.21167883276939392,0.037720393389463425,0.023045923560857773,0.01888001650830684,0.11688858270645142,134.75,174.01283264160156
37,1,timeout,15.0,0.11313482373952866,0.23339788615703583,0.03408351168036461,0.02194109559059143,0.021635940810823946,0.11682567745447159,137.25,163.69085693359375
38,1,timeout,15.0,0.10464327782392502,0.18841327726840973,0.019624579697847366,0.02381799928843975,0.020630228335890333,0.11783729493618011,136.0,187.3686065673828
39,1,timeout,15.0,0.09297697991132736,0.16075550019741058,0.05148524045944214,0.026216620579361916,0.021903232395440696,0.12272471934556961,134.5,194.32461547851562
40,1,timeout,15.0,0.11571627110242844,0.1739247739315033,0.03687546029686928,0.027432965114712715,0.019267595813895238,0.11900418251752853,134.75,195.50218200683594
41,1,timeout,15.0,0.12950049340724945,0.18493783473968506,0.001269620843231678,0.021935418248176575,0.015766418449004574,0.12507185339927673,141.75,174.34727478027344
42,1,timeout,15.0,0.11101057380437851,0.18166819214820862,0.014938116073608398,0.027221592143177986,0.018007795371853725,0.11551675945520401,136.25,180.8380889892578
43,1,timeout,15.0,0.11625971645116806,0.18823668360710144,0.020372163504362106,0.024391641840338707,0.02319696844876923,0.12706278264522552,137.75,189.7688446044922
44,1,timeout,15.0,0.11214299499988556,0.18004000186920166,0.019850214943289757,0.024858085438609123,0.021569713945511732,0.12491212785243988,131.0,191.94467163085938
45,1,timeout,15.0,0.11128463596105576,0.18081465363502502,0.060301534831523895,0.022137250751256943,0.01812478235433763,0.1215447187423706,132.75,183.06292724609375
46,1,timeout,15.0,0.09260664135217667,0.1776212602853775,0.018132731318473816,0.02666499651968479,0.019512338405927136,0.11864113807678223,137.0,197.27418518066406
47,1,timeout,15.0,0.11001022905111313,0.18965353071689606,0.05754048377275467,0.024863351136446,0.021447331842181425,0.11987712234258652,136.25,186.22683715820312
48,1,timeout,15.0,0.09496238082647324,0.1620781272649765,0.01075369119644165,0.026033099740743637,0.01734635735560659,0.12540052831172943,137.0,185.22021484375
49,1,timeout,15.0,0.11851195991039276,0.1775379180908203,0.03732316195964813,0.02697143331170082,0.023351894031657095,0.122889444231987,136.0,173.2801055908203
