pt,ep,n,succ,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
35,1631,128,1.0,15.0,0.1559419080731459,0.06567263029864989,0.011066010817785354,0.007835772092221305,0.009282416253678372,0.10688694467535242,150.54296875,347.451397895813
36,1663,128,1.0,15.0,0.15328297845553607,0.06474517597234808,0.011699368875270011,0.00755902997116209,0.009011646772253438,0.10663045360706747,150.75390625,349.3386905193329
37,1727,128,1.0,15.0,0.15588260150980204,0.06560139387147501,0.011998773906725546,0.0073018734583456535,0.008843850155710622,0.10638956323964521,150.9921875,349.30313539505005
38,1759,128,1.0,15.0,0.1549350083223544,0.06566385424230248,0.011167361826210254,0.007191428740043193,0.008844346913461407,0.10625601734500378,151.037109375,350.0803096294403
39,1823,128,1.0,15.0,0.1527782388147898,0.06572363324812613,0.010073927554913098,0.006980757516430458,0.008534569305496054,0.10603094473481178,150.978515625,352.0586667060852
40,1855,128,1.0,15.0,0.1499025666853413,0.065324499795679,0.010129798934030987,0.0070792809819977265,0.008617470129973258,0.10607582970988005,150.951171875,352.7181293964386
41,1919,128,1.0,15.0,0.15128304407699034,0.0661995704867877,0.011990508926601251,0.007294996190466918,0.008315753841437271,0.10543647984741256,150.888671875,352.0681209564209
42,1951,128,1.0,15.0,0.15477359853684902,0.0676315306336619,0.012482650888841818,0.007395357668428915,0.008325759181066759,0.10575890319887549,150.7421875,350.3179409503937
43,2015,128,1.0,15.0,0.1559982793405652,0.06878587236860767,0.013718846543042673,0.0076974947114649694,0.00805971682369467,0.10547703044721857,150.333984375,349.8152711391449
44,2047,128,1.0,15.0,0.15287137118866667,0.06948259274940938,0.013259826289186094,0.007685966011194978,0.007862822174319809,0.10541813401505351,149.998046875,349.46964502334595
45,2111,128,1.0,15.0,0.14856387174222618,0.06957636051811278,0.011689146947219342,0.007559159872471355,0.007524929332526558,0.10504143714206293,150.013671875,350.62111043930054
46,2143,128,1.0,15.0,0.14476736105279997,0.07029557708301581,0.01174150114979966,0.00752803597424645,0.007353087048467898,0.10506136389449239,149.927734375,349.817955493927
47,2207,128,1.0,15.0,0.14330540626542643,0.07099777794792317,0.01078505251120987,0.007729733039013809,0.00748514245981589,0.10490061790915206,149.76953125,348.8453412055969
48,2239,128,1.0,15.0,0.14242711948463693,0.07152275275439024,0.010793865762252608,0.007689438058150699,0.007511456015599159,0.10478454804979265,149.6953125,348.29707527160645
49,2271,128,1.0,15.0,0.1443672972964123,0.07230620307382196,0.011325375646947577,0.007875885319663212,0.007598128319876066,0.10474562313174829,149.443359375,346.93303656578064
50,2335,128,1.0,15.0,0.13922634307527915,0.07097203758894466,0.010344476001591829,0.008128681733069243,0.007384326861424799,0.10491074033780023,149.03515625,348.2743227481842
51,2367,128,1.0,15.0,0.13974559074267745,0.06979082399629988,0.010645142318935541,0.008193350931833265,0.0072618848494432646,0.10472556157037616,148.90234375,349.8902597427368
52,2431,128,1.0,15.0,0.143994776008185,0.067342858761549,0.009817878756621212,0.007869361168559408,0.007244126236259624,0.10489388013957068,149.107421875,354.10242342948914
53,2463,128,1.0,15.0,0.15400492638582364,0.06788811139995232,0.010036990407570556,0.007551624308689497,0.007616253500771209,0.1045008361688815,149.3671875,354.71536016464233
54,2527,128,1.0,15.0,0.1575306377490051,0.06679210250149481,0.012256179360065289,0.007476626426068833,0.007936474767981178,0.10456285660620779,149.50390625,355.5227618217468
55,2559,128,1.0,15.0,0.16026056709233671,0.06629679215257056,0.011701463860390504,0.007212836877442896,0.00824344685190529,0.10437790944706649,149.810546875,356.498010635376
56,2623,128,1.0,15.0,0.1628519493388012,0.06456685301964171,0.010557874732057826,0.006869308159366483,0.00857203723786671,0.10479156312067062,150.107421875,358.45399618148804
57,2655,128,1.0,15.0,0.16685342555865645,0.06430429519969039,0.009540111767364579,0.006621931723202579,0.008878326309265641,0.10504168947227299,150.306640625,359.25197291374207
58,2719,128,1.0,15.0,0.16247930011013523,0.0624065664014779,0.010245296553421213,0.0063693214433442336,0.008428901309248279,0.10506455594440922,150.505859375,361.460058927536
59,2751,128,1.0,15.0,0.16285138978855684,0.061919518833747134,0.011332590331676329,0.006401442373316968,0.008355864648706537,0.10506831214297563,150.521484375,361.80308985710144
60,2815,128,1.0,15.0,0.16292691620765254,0.06331422968651168,0.01230494949891181,0.006570234636456007,0.008185551514433382,0.10515102319186553,150.37890625,359.470308303833
61,2847,128,1.0,15.0,0.1605660255299881,0.06172533903736621,0.012279986905923579,0.006461007542384323,0.008009418969096824,0.1047327900887467,150.501953125,361.09563732147217
62,2911,128,1.0,15.0,0.16610390425194055,0.061908199480967596,0.012023287048577913,0.006534464368087356,0.008458352834997117,0.10472216398920864,150.607421875,360.5011832714081
63,2943,128,1.0,15.0,0.1674779710592702,0.062397768284427,0.01165390215919615,0.006574525023097522,0.00857691717005779,0.10445046523818746,150.583984375,360.36658358573914
64,2975,128,1.0,15.0,0.17039233696414158,0.0634547617228236,0.010964216790398496,0.0067937337335024495,0.008828264062104784,0.10486687649972737,150.599609375,358.94910645484924
65,3039,128,1.0,15.0,0.16952879924792796,0.06346263029263355,0.009794956770747376,0.006829250831287936,0.008600341900870664,0.10498123551951721,150.556640625,359.6708450317383
66,3071,128,1.0,15.0,0.16410552512388676,0.06252326193498448,0.009333720077847829,0.006741800822055666,0.008216636132267412,0.10508124885382131,150.67578125,360.5119957923889
67,3135,128,1.0,15.0,0.15871712804073468,0.060773101897211745,0.009924235224389122,0.006643030368650216,0.00811049484106302,0.10479272686643526,150.75390625,361.5432538986206
68,3167,128,1.0,15.0,0.15688415797194466,0.05953707636217587,0.009193280399813375,0.006506742620331352,0.008097745343150489,0.10470291477395222,150.912109375,363.0659155845642
69,3231,128,1.0,15.0,0.15842096379492432,0.05950096817105077,0.009696790449197579,0.00650325755304948,0.008034777150833238,0.1042496144073084,150.9609375,363.6717846393585
70,3263,128,1.0,15.0,0.1599873486557044,0.05917551481979899,0.01048074223126605,0.006493647246315959,0.00793147253484241,0.10426776658277959,150.888671875,364.1872384548187
71,3327,128,1.0,15.0,0.15695035987300798,0.058336619462352246,0.012089973705997181,0.006787291093132808,0.007527924240724564,0.1044291733414866,150.646484375,364.5784327983856
72,3359,128,1.0,15.0,0.15843555139144883,0.05922671014559455,0.01295214613242024,0.006891141563755809,0.007627038501063423,0.10461243655299768,150.611328125,363.1163787841797
73,3423,128,1.0,15.0,0.15859513910254464,0.058840018580667675,0.013154573618521681,0.006848913357316633,0.007496984613232336,0.10431065788725391,150.759765625,363.6689450740814
74,3455,128,1.0,15.0,0.1543499831459485,0.05718907396658324,0.012921492497298459,0.0065604030878603226,0.007160903638171152,0.10418239707360044,151.01953125,365.74591302871704
75,3487,128,1.0,15.0,0.1546929871547036,0.05690711364150047,0.011955451399444428,0.006518924668853288,0.007058091941494246,0.10425906634191051,150.96484375,366.6503529548645
76,3551,128,1.0,15.0,0.16413632716285065,0.05897810638998635,0.012865939855601027,0.006782186372220167,0.0073050617183953405,0.10424836172023788,150.517578125,364.87208580970764
77,3583,128,1.0,15.0,0.16970216046320274,0.059425275947432965,0.012205462405745493,0.006866754536531516,0.007456170691038192,0.10436742211459205,150.208984375,364.54922246932983
78,3647,128,1.0,15.0,0.17187379871029407,0.05887449308647774,0.011298106776621353,0.006868955781101249,0.007450885544195275,0.10426599107449874,150.259765625,364.83747148513794
79,3679,128,1.0,15.0,0.17019373853690922,0.05801841343054548,0.011503420520284635,0.00681150563468691,0.0074506258187930306,0.10427446709945798,150.263671875,365.7436594963074
80,3743,128,1.0,15.0,0.17022466799244285,0.05798979982500896,0.01045504420085308,0.006637804173806217,0.0076770017782721404,0.10428166121710092,150.390625,366.35926938056946
