wall_time_s,elapsed_min,completed_total,window_episode_count,checkpoint_count,latest_checkpoint,train_episode_count,train_success_rate,train_survival_ratio_mean,train_v_fwd_mean_mean,train_v_fwd_rmse_mean,train_yaw_drift_abs_final_mean,train_yaw_rate_abs_mean_mean,train_roll_rms_mean,train_pitch_rms_mean,train_tilt_rms_mean,train_vertical_bounce_rms_mean,train_contact_continuity_score_mean,train_diag_support_asym_score_mean,train_swing_scuff_count_mean,train_residual_rms_mean,train_residual_rate_rms_mean,train_joint_vel_rms_mean,train_return_total_mean
1776652575.106339,0.3334442774454753,32,32,1,model_0.pt,32,1.0,1.0,0.10302577936090529,0.20372282806783915,0.030825119771179743,0.02762780396733433,0.017181271250592545,0.01429235062096268,0.022406891680102892,0.13964353874325752,0.4441666668280959,0.7436458356678486,87.4453125,0.4598783226683736,0.35506752133369446,0.45697593688964844,175.2604775428772
1776652595.1423666,0.6673780719439188,64,64,1,model_0.pt,64,1.0,1.0,0.11928513529710472,0.1988015458919108,0.02827855303621618,0.026668144622817636,0.016797613934613764,0.013855266777682118,0.02184658328890416,0.1398742813616991,0.4500000015832484,0.7499479176476598,88.08203125,0.4732403247617185,0.35438349517062306,0.4568844810128212,178.05465698242188
1776652615.1758533,1.001269515355428,128,128,1,model_0.pt,128,1.0,1.0,0.1341714930604212,0.1895122064743191,0.02861648177167808,0.025661199833848514,0.016443966633232776,0.014427601425268222,0.0220170041585675,0.13907389214728028,0.45817708456888795,0.7342968750745058,88.224609375,0.5044570707250386,0.35152804222889245,0.45198351866565645,186.76640796661377
1776652635.1825602,1.3347146312395732,160,128,1,model_0.pt,128,1.0,1.0,0.14666553330607712,0.18016782752238214,0.02727067281557538,0.023534403408120852,0.015924783154332545,0.015216816682368517,0.022199691556365867,0.13863974786363542,0.46993489703163505,0.72203124826774,88.69140625,0.5428669643588364,0.3476551834028214,0.44442914542742074,195.80234944820404
1776652655.196404,1.668278694152832,224,128,1,model_0.pt,128,1.0,1.0,0.14298586826771498,0.16348968900274485,0.024064813249651706,0.019394386290514376,0.014854949600703549,0.017303651773545425,0.022885271623689793,0.13805459544528276,0.4910937480162829,0.690572913736105,88.78515625,0.6181289441883564,0.33696338860318065,0.41774244187399745,213.2426233291626
1776652675.20469,2.001750127474467,256,128,2,model_100.pt,128,1.0,1.0,0.13909912738017738,0.15923447004752234,0.020427267223794843,0.01780767775926506,0.0150399713893421,0.01766005680838134,0.02326397442459654,0.13789034739602357,0.498164058662951,0.6833723951131105,88.484375,0.6460062372498214,0.33202712680213153,0.4081377836409956,217.93244409561157
1776652695.2131922,2.3352251648902893,320,128,2,model_100.pt,128,1.0,1.0,0.13628386246273294,0.15481654956238344,0.01618101715234843,0.01697244382376084,0.017188467892992776,0.01778491958248196,0.02485024222827969,0.13705035077873617,0.5096354098059237,0.6733463550917804,88.1953125,0.6809527152217925,0.3237963349092752,0.394537269603461,222.37600076198578
1776652715.2286339,2.668815859158834,352,128,2,model_100.pt,128,1.0,1.0,0.1392072883900255,0.15147798706311733,0.014327334693916782,0.016525247527169995,0.018733559307293035,0.018083290218783077,0.026146334007700785,0.13616469083353877,0.5130338477902114,0.6709114615805447,88.478515625,0.6940025510266423,0.32055152440443635,0.39306107605807483,225.28712213039398
1776652735.2361116,3.0022738218307494,416,128,2,model_100.pt,128,1.0,1.0,0.14190493803471327,0.14833617373369634,0.013208339351422183,0.015625532920239493,0.02129087719367817,0.01721384892880451,0.027462242136500736,0.13532418466638774,0.5177213486749679,0.6760286497883499,88.990234375,0.7134179836139083,0.31512072193436325,0.3866836328525096,228.74796199798584
1776652755.2440524,3.335739501317342,480,128,2,model_100.pt,128,1.0,1.0,0.14317313360515982,0.14281707676127553,0.013139021681581653,0.01462707927566953,0.021771184023236856,0.016796653886558488,0.02756828603968657,0.13514333544299006,0.5203385355416685,0.6814713552594185,89.328125,0.7315180418081582,0.31098729418590665,0.3827114070300013,233.17802131175995
1776652775.253647,3.669232745965322,512,128,3,model_200.pt,128,1.0,1.0,0.13995683996472508,0.1402792333974503,0.012202731614706863,0.014397398299479391,0.02149120492686052,0.01677131863834802,0.0273368754468978,0.13470125722233206,0.5213932225015014,0.6843489580787718,89.498046875,0.7389620756730437,0.30910397483967245,0.37930487864650786,235.5526237487793
1776652795.2665672,4.002781414985657,544,128,3,model_200.pt,128,1.0,1.0,0.138117365015205,0.13685130287194625,0.011809311184151738,0.014072148886043578,0.021450006621307693,0.016718973151000682,0.027263485430915203,0.13381271774414927,0.5228255153633654,0.684934894554317,89.92578125,0.7486154646612704,0.3065284176263958,0.3759838070254773,238.25284600257874
1776652815.2787347,4.336317539215088,608,128,3,model_200.pt,128,1.0,1.0,0.13459925050847232,0.13356448081322014,0.010398187289865746,0.013592253140814137,0.020349080106825568,0.0172050242399564,0.026751223161884868,0.13458704645745456,0.5244791619479656,0.6830729185603559,90.515625,0.757016216404736,0.30349266598932445,0.37192758242599666,242.99494457244873
1776652835.2934635,4.669896352291107,640,128,3,model_200.pt,128,1.0,1.0,0.1353826766135171,0.13007097324589267,0.010376991101338717,0.013149837010132615,0.01916102640097961,0.01776536798570305,0.02624477267924928,0.13576379627920687,0.5261588525027037,0.6832942739129066,91.05859375,0.7607880807481706,0.301235887221992,0.3724562730640173,246.10892283916473
1776652855.3081305,5.003474136193593,672,128,3,model_200.pt,128,1.0,1.0,0.1346797330188565,0.12812199944164604,0.010171710002623513,0.012842660136811901,0.017618425576074515,0.01772573494235985,0.025090023179172177,0.13547329069115222,0.5284374998882413,0.6857682317495346,91.3984375,0.7599117723293602,0.3001519446261227,0.372627261094749,248.28206634521484
1776652875.3337383,5.33723426659902,736,128,3,model_200.pt,128,1.0,1.0,0.12920152815058827,0.12428510311292484,0.018407615681326206,0.012621380999917164,0.015238146574120037,0.0161576448881533,0.02227052782691878,0.13553651224356145,0.5328255253843963,0.6893880199640989,91.39453125,0.7662046072073281,0.29633927694521844,0.3687037196941674,249.83025813102722
1776652895.3483398,5.670810957749684,768,128,4,model_300.pt,128,1.0,1.0,0.12759391870349646,0.12659255304606631,0.02230839762432879,0.012706326800980605,0.01489094975113403,0.015371527180832345,0.021456822168975598,0.13471815991215408,0.5351041718386114,0.6868750001303852,90.884765625,0.7667239964939654,0.2960885795764625,0.3670062709134072,247.90813505649567
1776652915.3556838,6.004266691207886,800,128,4,model_300.pt,128,1.0,1.0,0.12846885004546493,0.12555250007426366,0.023167057867794938,0.012561235707835294,0.015060299265314825,0.014738282930920832,0.021130576697076953,0.1352787751238793,0.5367708383128047,0.6870442717336118,90.654296875,0.7676915051415563,0.2958027380518615,0.3668505302630365,249.27047896385193
1776652935.3696675,6.337833086649577,864,128,4,model_300.pt,128,1.0,1.0,0.13163804868236184,0.12746688263723627,0.015568273799317467,0.011934943897358608,0.014582749448891263,0.013676406102604233,0.020056390066920757,0.13560891267843544,0.5414192783646286,0.6896614613942802,90.421875,0.7622753563337028,0.29732257639989257,0.3675839880015701,249.93490743637085
1776652955.3856874,6.67143341700236,896,128,4,model_300.pt,128,1.0,1.0,0.1357882940210402,0.12705556221771985,0.011824199330476404,0.011521409214765299,0.01377311092801392,0.012775724491802976,0.018847448188455407,0.1361892344430089,0.5440234458073974,0.6919921883381903,90.353515625,0.757827578112483,0.2990350278560072,0.36872781394049525,252.31095671653748
1776652975.3998652,7.005003046989441,928,128,4,model_300.pt,128,1.0,1.0,0.14128597977105528,0.12957195879425853,0.011674032510654797,0.011348106309014838,0.01282262199674733,0.011920285392989172,0.0175693942772456,0.13576917455065995,0.5464323009364307,0.688971356023103,89.88671875,0.7549110208638012,0.30086122918874025,0.36985133681446314,251.6181242465973
1776652995.4208784,7.3386866013209024,960,128,4,model_300.pt,128,1.0,1.0,0.14612027897965163,0.1301440256065689,0.012710019806945638,0.011405678043956868,0.012340785382548347,0.011803624831372872,0.01713977609673273,0.1344444431597367,0.5488020936027169,0.6828645840287209,89.302734375,0.7549656671471894,0.301782637136057,0.369626427302137,253.19125843048096
1776653015.4324992,7.672213613986969,1024,128,5,model_400.pt,128,1.0,1.0,0.1465242737904191,0.1281944748479873,0.01525966912140575,0.011042042118788231,0.011831633222755045,0.011591360056627309,0.01663522932226958,0.13263101293705404,0.5532552166841924,0.6750390608794987,88.69921875,0.7733219456858933,0.2944934172555804,0.36621735198423266,256.38332664966583
1776653035.4454916,8.00576348702113,1056,128,5,model_400.pt,128,1.0,1.0,0.14157341280952096,0.1270206326735206,0.014922765283699846,0.010864354619116057,0.01157028877059929,0.011927757281227969,0.016683023639587596,0.13256458833348006,0.5560286524705589,0.6714062476530671,88.564453125,0.7822305699810386,0.29046745249070227,0.36304786056280136,258.1910226345062
1776653055.456761,8.339284642537434,1088,128,5,model_400.pt,128,1.0,1.0,0.13844586204504594,0.12616493611130863,0.014982635884280171,0.010651635479007382,0.010945532627374632,0.011649876410956495,0.016048369452281816,0.1324758754344657,0.5597526077181101,0.6650390597060323,88.333984375,0.7858782014809549,0.2886815897654742,0.36087628128007054,259.5893257856369
