env_id,success,done_reason_code,done_reason,duration_sec,survival_ratio,v_cmd_mean,v_fwd_mean,v_fwd_rmse,yaw_drift_abs_final,yaw_rate_abs_mean,roll_rms,pitch_rms,tilt_rms,vertical_bounce_rms,base_z_min,contact_continuity_score,diag_support_asym_score,swing_scuff_count,residual_rms,residual_rate_rms,joint_vel_rms,return_total,completed_episode_index,completed_wall_time_s
10,1,1,timeout,10.0,1.0,0.18470218777656555,0.12217593193054199,0.20385600626468658,0.015320416539907455,0.023326575756072998,0.022064408287405968,0.022296588867902756,0.03136839154654944,0.14510075747966766,0.8751118779182434,0.4283333420753479,0.7383333444595337,85.25,0.4549603760242462,0.3569191098213196,0.4709395170211792,188.78236389160156,10,1776652569.8623302
11,1,1,timeout,10.0,1.0,0.14708445966243744,0.11240188777446747,0.2225770503282547,0.0325390100479126,0.03049313835799694,0.01653297431766987,0.017472615465521812,0.02405476108787455,0.14550648629665375,0.8644672632217407,0.43166667222976685,0.7383333444595337,87.5,0.46821916103363037,0.3526693880558014,0.4631204903125763,157.61917114257812,11,1776652569.8623302
12,1,1,timeout,10.0,1.0,0.18079514801502228,0.08616597205400467,0.22166694700717926,0.0367819219827652,0.03171021118760109,0.01687869243323803,0.012495474889874458,0.02100064644193911,0.1356661021709442,0.8698282837867737,0.4449999928474426,0.7266666889190674,87.25,0.46332770586013794,0.35593265295028687,0.466488778591156,148.98031616210938,12,1776652569.8623302
13,1,1,timeout,10.0,1.0,0.20793837308883667,0.06527633219957352,0.22073999047279358,0.00952143594622612,0.03294586390256882,0.013894706964492798,0.014345002360641956,0.019971028375022352,0.14085887372493744,0.8715831637382507,0.4350000023841858,0.7316666841506958,85.0,0.45674389600753784,0.3577677011489868,0.44057697057724,164.9385223388672,13,1776652569.8623302
14,1,1,timeout,10.0,1.0,0.21952183544635773,0.11861009150743484,0.18560263514518738,0.017794042825698853,0.027642371132969856,0.014919571578502655,0.009292319416999817,0.017576712327213414,0.14304082095623016,0.8708665370941162,0.4650000035762787,0.7900000214576721,90.5,0.45838794112205505,0.3544580340385437,0.4605250060558319,184.99273681640625,14,1776652569.8623302
15,1,1,timeout,10.0,1.0,0.11497329920530319,0.11742435395717621,0.20385988056659698,0.023630470037460327,0.024155044928193092,0.015036994591355324,0.013948902487754822,0.020510560376385184,0.1407458335161209,0.8669934868812561,0.4350000023841858,0.746666669845581,88.5,0.46911096572875977,0.3552476465702057,0.45022299885749817,170.12594604492188,15,1776652569.8623302
16,1,1,timeout,10.0,1.0,0.14266832172870636,0.09266692399978638,0.1650678962469101,0.004952069837599993,0.028713203966617584,0.01784825511276722,0.01273786835372448,0.02192745997071336,0.14088094234466553,0.8663956522941589,0.4333333373069763,0.7433333396911621,85.0,0.4585270881652832,0.3535234034061432,0.45194143056869507,195.33114624023438,16,1776652569.8623302
17,1,1,timeout,10.0,1.0,0.1689729392528534,0.08298914134502411,0.19187213480472565,0.01726793311536312,0.024215564131736755,0.01637151464819908,0.012742367573082447,0.020745949562354097,0.13530069589614868,0.8728415369987488,0.4650000035762787,0.7549999952316284,90.5,0.4420712888240814,0.3548642694950104,0.4501611590385437,195.9002227783203,17,1776652569.8623302
18,1,1,timeout,10.0,1.0,0.14383761584758759,0.10451815277338028,0.23836567997932434,0.011010732501745224,0.02693108841776848,0.014888915233314037,0.013908439315855503,0.02037460382504764,0.1457788646221161,0.8665181994438171,0.45500001311302185,0.7616666555404663,88.5,0.46052446961402893,0.35371872782707214,0.4477793574333191,161.44139099121094,18,1776652569.8623302
19,1,1,timeout,10.0,1.0,0.15656651556491852,0.10320623964071274,0.20182888209819794,0.04384199529886246,0.027789195999503136,0.01800565980374813,0.012773910537362099,0.02207660697174368,0.14379554986953735,0.8703690767288208,0.46166667342185974,0.7749999761581421,89.75,0.45612862706184387,0.3547055423259735,0.453964501619339,170.88079833984375,19,1776652569.8623302
20,1,1,timeout,10.0,1.0,0.15325003862380981,0.10346811264753342,0.23415027558803558,0.003130882978439331,0.029773671180009842,0.02052927576005459,0.015855276957154274,0.025939178295012202,0.13821941614151,0.8703774809837341,0.4533333480358124,0.75,88.75,0.46462684869766235,0.3540007770061493,0.4519463777542114,180.90802001953125,20,1776652569.8623302
21,1,1,timeout,10.0,1.0,0.12622244656085968,0.09347198158502579,0.200834721326828,0.02087300643324852,0.026176458224654198,0.018330175429582596,0.016986198723316193,0.02499052377096691,0.14403489232063293,0.8695809245109558,0.44999998807907104,0.7266666889190674,88.5,0.4449523091316223,0.3577629327774048,0.447113960981369,174.35765075683594,21,1776652569.8623302
22,1,1,timeout,10.0,1.0,0.183368518948555,0.11718075722455978,0.18256507813930511,0.051808979362249374,0.028576117008924484,0.020093390718102455,0.01907714270055294,0.027707069931113,0.14252063632011414,0.8726590871810913,0.4099999964237213,0.7250000238418579,85.0,0.44801920652389526,0.3585817813873291,0.45657089352607727,176.39585876464844,22,1776652569.8623302
23,1,1,timeout,10.0,1.0,0.18204711377620697,0.06305115669965744,0.1923075169324875,0.07764953374862671,0.026510531082749367,0.01643533445894718,0.0128610385581851,0.020869272425568183,0.13836027681827545,0.8740823268890381,0.42500001192092896,0.7416666746139526,83.5,0.4613867998123169,0.35278967022895813,0.4538184404373169,161.89404296875,23,1776652569.8623302
24,1,1,timeout,10.0,1.0,0.17974597215652466,0.11022664606571198,0.22357404232025146,0.0032927021384239197,0.030061479657888412,0.0193113274872303,0.018497519195079803,0.0267410842280451,0.14180321991443634,0.8630205988883972,0.44999998807907104,0.7183333039283752,86.25,0.47770917415618896,0.3523971140384674,0.46748578548431396,163.26788330078125,24,1776652569.8623302
25,1,1,timeout,10.0,1.0,0.11864522099494934,0.11193232238292694,0.19705034792423248,0.08699225634336472,0.027987442910671234,0.0178985558450222,0.01576228253543377,0.023849692913415443,0.14475367963314056,0.8688571453094482,0.4516666531562805,0.7250000238418579,86.75,0.46518754959106445,0.3550291061401367,0.4650212526321411,168.53436279296875,25,1776652569.8623302
26,1,1,timeout,10.0,1.0,0.09102831780910492,0.12688858807086945,0.20889326930046082,0.004562174901366234,0.024253174662590027,0.014582494273781776,0.011051127687096596,0.018296900349550775,0.1327294558286667,0.873892068862915,0.44999998807907104,0.7666666507720947,89.25,0.4647773206233978,0.3550257086753845,0.46632206439971924,163.9905548095703,26,1776652569.8623302
27,1,1,timeout,10.0,1.0,0.18918414413928986,0.10277533531188965,0.19668155908584595,0.026598311960697174,0.02600719965994358,0.01746045984327793,0.013442469760775566,0.022035599633504117,0.13531635701656342,0.8704445958137512,0.48500001430511475,0.7416666746139526,89.5,0.46584948897361755,0.3559143841266632,0.45599088072776794,180.34352111816406,27,1776652569.8623302
28,1,1,timeout,10.0,1.0,0.18688252568244934,0.09637539833784103,0.19968459010124207,0.027654627338051796,0.02287955954670906,0.014392064884305,0.01142379641532898,0.018374837582219014,0.13522480428218842,0.8698148131370544,0.44999998807907104,0.7649999856948853,90.0,0.46068063378334045,0.3547821044921875,0.45354756712913513,184.88182067871094,28,1776652569.8623302
29,1,1,timeout,10.0,1.0,0.16617655754089355,0.11292984336614609,0.18721596896648407,0.026462046429514885,0.023098085075616837,0.018379278481006622,0.013862856663763523,0.023021222216955507,0.14305636286735535,0.8650557398796082,0.46666666865348816,0.7433333396911621,87.5,0.466060608625412,0.3558841347694397,0.4519117772579193,185.7571258544922,29,1776652569.8623302
30,1,1,timeout,10.0,1.0,0.1841549277305603,0.07654497772455215,0.2244979739189148,0.06300555169582367,0.026791594922542572,0.01794242113828659,0.015138745307922363,0.02347577657505231,0.1488022655248642,0.8676407933235168,0.43833333253860474,0.7383333444595337,88.0,0.4591394066810608,0.3530657887458801,0.4601946473121643,166.43222045898438,30,1776652569.8623302
31,1,1,timeout,10.0,1.0,0.15827810764312744,0.1089727133512497,0.18264639377593994,0.027673548087477684,0.027192551642656326,0.01590678095817566,0.01171262376010418,0.019753765104332306,0.14063559472560883,0.8702183961868286,0.4516666531562805,0.7183333039283752,85.75,0.4683142602443695,0.3526712954044342,0.4610261917114258,198.65182495117188,31,1776652569.8623302
0,1,1,timeout,10.0,1.0,0.19415639340877533,0.1474132388830185,0.2077270895242691,0.03934822231531143,0.033332981169223785,0.021408002823591232,0.016619568690657616,0.02710189381497863,0.13893364369869232,0.8664286136627197,0.4583333432674408,0.7300000190734863,88.0,0.47788894176483154,0.353952556848526,0.46342962980270386,174.3157196044922,32,1776652583.0164366
1,1,1,timeout,10.0,1.0,0.2092597633600235,0.1241355612874031,0.18825899064540863,0.00390813872218132,0.029720325022935867,0.01380674447864294,0.009520751424133778,0.016771132960497412,0.1355443149805069,0.8584039211273193,0.43833333253860474,0.7599999904632568,89.0,0.5086427330970764,0.35328683257102966,0.4594728946685791,185.0898895263672,33,1776652583.0164366
2,1,1,timeout,10.0,1.0,0.2615121603012085,0.13641542196273804,0.2068835347890854,0.08080756664276123,0.029211677610874176,0.017644762992858887,0.013763833791017532,0.022378131774143224,0.14072000980377197,0.8646368384361267,0.46833333373069763,0.7716666460037231,88.25,0.49839577078819275,0.3546345829963684,0.44713643193244934,165.2608184814453,34,1776652583.0164366
3,1,1,timeout,10.0,1.0,0.2916282117366791,0.14452236890792847,0.2416647970676422,0.017357278615236282,0.027379782870411873,0.018705323338508606,0.01693243347108364,0.025230862538780326,0.14109140634536743,0.867222249507904,0.43666666746139526,0.7350000143051147,87.75,0.4812391996383667,0.355654776096344,0.4612908363342285,159.55030822753906,35,1776652583.0164366
4,1,1,timeout,10.0,1.0,0.2562529742717743,0.12821465730667114,0.20753085613250732,0.014261264353990555,0.02427019737660885,0.015308763831853867,0.010182486847043037,0.018385899174358636,0.13477356731891632,0.8655152320861816,0.4633333384990692,0.7433333396911621,88.25,0.4939192831516266,0.35471054911613464,0.4629082679748535,186.49354553222656,36,1776652583.0164366
5,1,1,timeout,10.0,1.0,0.2399529218673706,0.12319492548704147,0.19865699112415314,0.0026699863374233246,0.023326326161623,0.015552839264273643,0.012285375967621803,0.01981971926759184,0.13695785403251648,0.868827223777771,0.4650000035762787,0.8016666769981384,92.25,0.47364720702171326,0.3542605936527252,0.4612395167350769,180.31976318359375,37,1776652583.0164366
6,1,1,timeout,10.0,1.0,0.2858908176422119,0.1257571578025818,0.2416159212589264,0.012678900733590126,0.02116256393492222,0.013615538366138935,0.014502184465527534,0.019892115002482502,0.15251876413822174,0.8668490052223206,0.4633333384990692,0.7300000190734863,87.0,0.4713917374610901,0.3533322513103485,0.45137104392051697,172.60934448242188,38,1776652583.0164366
7,1,1,timeout,10.0,1.0,0.24885541200637817,0.14325198531150818,0.19647473096847534,0.03162408247590065,0.02356225810945034,0.01788214035332203,0.009392162784934044,0.020198605530942184,0.1481371372938156,0.8670223951339722,0.4633333384990692,0.7933333516120911,93.5,0.5043966174125671,0.35267922282218933,0.4561883807182312,168.1754913330078,39,1776652583.0164366
8,1,1,timeout,10.0,1.0,0.17546170949935913,0.14038367569446564,0.1759868860244751,0.006252838298678398,0.02046704664826393,0.016043929383158684,0.014511398039758205,0.02163303823137381,0.1378210037946701,0.8592916131019592,0.46666666865348816,0.7950000166893005,91.0,0.48802846670150757,0.35630571842193604,0.45800456404685974,192.80621337890625,40,1776652583.0164366
9,1,1,timeout,10.0,1.0,0.10772740840911865,0.1406191736459732,0.17524172365665436,0.05262517184019089,0.028282614424824715,0.016887925565242767,0.011315473355352879,0.020328353773802765,0.13601385056972504,0.8638667464256287,0.4633333384990692,0.7933333516120911,91.5,0.5001822113990784,0.34924930334091187,0.4680565893650055,180.26968383789062,41,1776652583.0164366
10,1,1,timeout,10.0,1.0,0.13507841527462006,0.12175176292657852,0.1651623398065567,0.0066653285175561905,0.022382766008377075,0.019232185557484627,0.013756840489804745,0.02364587958988736,0.13348069787025452,0.865441620349884,0.4566666781902313,0.7316666841506958,89.0,0.4948320686817169,0.35383811593055725,0.44212767481803894,196.3600311279297,42,1776652583.0164366
11,1,1,timeout,10.0,1.0,0.14367809891700745,0.15648601949214935,0.18620847165584564,0.0021499181166291237,0.02234700322151184,0.014599932357668877,0.010909143835306168,0.01822546142263359,0.13589529693126678,0.8628289103507996,0.4650000035762787,0.7666666507720947,89.0,0.5039870142936707,0.35438066720962524,0.45667147636413574,196.9882049560547,43,1776652583.0164366
