pt,ep,n,succ,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
29,927,128,1.0,15.0,0.16551252064527944,0.09279983898159117,0.02600661035853591,0.013793279911624268,0.010235374802960408,0.11237004428403452,142.708984375,303.38071489334106
30,991,128,1.0,15.0,0.15422652330016717,0.08976914646336809,0.028411680779754533,0.013898833691200707,0.010121292536885627,0.11207687569549307,141.935546875,307.5942714214325
31,1023,128,1.0,15.0,0.14925121777923778,0.08745096367783844,0.02747461049057165,0.0139490388755803,0.010004927787133727,0.11154537170659751,141.73046875,311.1481773853302
32,1055,128,1.0,15.0,0.15155914617935196,0.08675201941514388,0.023995549717255926,0.01351295431595645,0.009603716688359298,0.11130651290295646,142.091796875,314.5332634449005
33,1087,128,1.0,15.0,0.1556906831683591,0.08665844227652997,0.02180729952033289,0.013053371611022158,0.009269207625138342,0.11074964160798118,142.876953125,316.33811354637146
34,1119,128,1.0,15.0,0.15748470567632467,0.08521213906351477,0.019820139371404366,0.012813312609068817,0.00896558049828628,0.11076762591255829,143.1875,319.03234672546387
35,1151,128,1.0,15.0,0.16086845932295546,0.08477293892065063,0.01623597470961613,0.012354354537819745,0.008692346307889521,0.11069489642977715,143.5625,322.13270831108093
36,1183,128,1.0,15.0,0.1595822085510008,0.08316655753878877,0.014536560356418704,0.012060051842126995,0.008539951305797489,0.11001226986991242,143.701171875,325.5334165096283
37,1215,128,1.0,15.0,0.15791021438781172,0.08138023328501731,0.014633181016961316,0.011901750051038107,0.008399461458904474,0.10923803178593516,143.548828125,328.98128175735474
38,1247,128,1.0,15.0,0.16167125839274377,0.08144716796232387,0.01608744834402387,0.011375468711776193,0.008181721093840896,0.10851723770610988,144.3125,329.9445037841797
39,1279,128,1.0,15.0,0.1599910215009004,0.07980159914586693,0.018924199870980374,0.011212568315386306,0.008068244741464017,0.10795720538590103,144.564453125,330.6590657234192
40,1343,128,1.0,15.0,0.16369687154656276,0.0775131591653917,0.019180728576657202,0.010950563682854408,0.007972995466455437,0.10828691523056477,145.265625,333.7863218784332
41,1375,128,1.0,15.0,0.15921328036347404,0.07493091560900211,0.0185706769736953,0.011062140081776306,0.008159897599592774,0.10835562529973686,144.794921875,336.4404468536377
42,1407,128,1.0,15.0,0.16420075518544763,0.07439965649973601,0.01791514919545989,0.010754993665614165,0.00818497778206206,0.10838402778608724,145.177734375,337.40057349205017
43,1439,128,1.0,15.0,0.164600950141903,0.07378234932548366,0.01673378908481027,0.010514508787309751,0.008168867719186871,0.10824041784508154,145.091796875,338.42613434791565
44,1471,128,1.0,15.0,0.16651810181792825,0.07337654544971883,0.017629057910198753,0.010438946108479286,0.008261552144613767,0.10794304934097454,145.4453125,338.11192655563354
45,1503,128,1.0,15.0,0.17326145368861035,0.07366041591740213,0.01686895416241896,0.010067754308693111,0.008077606689798577,0.10774405987467617,146.173828125,338.0191316604614
46,1535,128,1.0,15.0,0.16867017123149708,0.07274293011869304,0.01442789494308272,0.009919420812366297,0.007977766326575344,0.1073459240142256,146.13671875,340.4463415145874
47,1599,128,1.0,15.0,0.17586670094169676,0.07189249200746417,0.011042345155601652,0.008948683898779564,0.0076264246089006275,0.1067864756914787,147.52734375,344.17570781707764
48,1631,128,1.0,15.0,0.17265048110857606,0.0703638943086844,0.009587620621914539,0.008764269085077103,0.007492287206022396,0.10648318624589592,147.6875,347.25382256507874
49,1663,128,1.0,15.0,0.1705553490901366,0.06892652725218795,0.009307376691367608,0.00862151005276246,0.007399915918132773,0.10636764072114602,147.94921875,349.0674386024475
50,1695,128,1.0,15.0,0.16834627388743684,0.06851736531825736,0.009366771824716125,0.008508034730766667,0.007372302047509972,0.10627419664524496,147.81640625,349.84090542793274
51,1727,128,1.0,15.0,0.16544505208730698,0.0678565528942272,0.009069134043329541,0.00833553582924651,0.007354621695023754,0.10602866194676608,147.890625,350.98865151405334
52,1759,128,1.0,15.0,0.16543884732527658,0.06724573456449434,0.009411239163910068,0.00821165373781696,0.007324782108048761,0.10577766806818545,148.095703125,351.98321509361267
53,1791,128,1.0,15.0,0.165872830839362,0.06788590128417127,0.009809078343550937,0.008064629753789632,0.007376583052723045,0.10588419233681634,148.0625,351.8816750049591
54,1823,128,1.0,15.0,0.16120250971289352,0.06636583479121327,0.009246152877040004,0.00809629468494677,0.007358698514969541,0.1058537214412354,148.27734375,354.20945978164673
55,1855,128,1.0,15.0,0.16021831502439454,0.06591634577489458,0.00946790884040638,0.008125357864628313,0.007328176171665885,0.10546810337109491,148.25,355.3732225894928
56,1887,128,1.0,15.0,0.1572193394531496,0.0657350771361962,0.009932662450637508,0.008141020494804252,0.007316565376762685,0.1055289410869591,148.25,355.72424840927124
57,1919,128,1.0,15.0,0.16052156820660457,0.06500837043859065,0.009387603626464625,0.00800009696467896,0.007329993844035333,0.10540277481777593,148.677734375,357.01054883003235
58,1951,128,1.0,15.0,0.16283428820315748,0.06574803416151553,0.009377123979220414,0.007894104732258711,0.00733441619080907,0.10507215542020276,148.69140625,356.33541893959045
59,1983,128,1.0,15.0,0.16184802871430293,0.06496445706579834,0.009958800159893144,0.00790304924157681,0.007341885856549831,0.10532213724218309,148.71875,356.8910448551178
60,2015,128,1.0,15.0,0.16598887438885868,0.06492043088655919,0.009793921341042733,0.007829561163816834,0.007408239754428855,0.10534063068917021,148.65234375,357.34391617774963
61,2047,128,1.0,15.0,0.1665076952194795,0.0651875936309807,0.010287446755228302,0.007865679490350885,0.007421937758546636,0.10510338278254494,148.5234375,357.29845905303955
62,2079,128,1.0,15.0,0.1689426444354467,0.06531324877869338,0.010558681248312496,0.00789785799497622,0.0074150123912006035,0.10500047926325351,148.56640625,357.38377571105957
63,2111,128,1.0,15.0,0.17034918576246127,0.0648876613995526,0.009746020047259663,0.007844014817237621,0.007472852998894792,0.10478572268038988,148.634765625,358.538685798645
64,2143,128,1.0,15.0,0.1671359963947907,0.06411538104293868,0.009300546787926578,0.007865948755352292,0.007419934409991618,0.10447515966370702,148.7421875,359.3149118423462
65,2175,128,1.0,15.0,0.16690488526364788,0.06342405275790952,0.00882937227788716,0.007781059910485055,0.007446095359036111,0.10453036479884759,148.779296875,360.02729201316833
66,2207,128,1.0,15.0,0.1616892980528064,0.061930392344947904,0.00896336988398616,0.007616699316713493,0.007411094574261322,0.10484953719424084,148.8828125,361.7835018634796
67,2239,128,1.0,15.0,0.16071367234690115,0.06148915263474919,0.009770480858151132,0.0074731248678290285,0.007398214735192771,0.10483467642916366,148.873046875,361.66256046295166
68,2271,128,1.0,15.0,0.16410156816709787,0.06149146068491973,0.009871096534880053,0.007267428307386581,0.007474234959102511,0.10481522022746503,149.0,362.18495869636536
69,2303,128,1.0,15.0,0.16287408105563372,0.061197434610221535,0.010813737885882801,0.007256877193867695,0.007461643988404754,0.10484608903061599,149.00390625,362.158695936203
70,2335,128,1.0,15.0,0.16602901910664514,0.06106673687463626,0.01138128454863363,0.007222117437777342,0.007504414367605157,0.10455162054859102,149.04296875,362.0653462409973
71,2367,128,1.0,15.0,0.16899089561775327,0.06156271437066607,0.011510898519418333,0.007194674071797635,0.007574123030439816,0.10464962461264804,149.0625,361.8728578090668
72,2431,128,1.0,15.0,0.1607225654879585,0.0608012332522776,0.012698880068455765,0.007178209114499623,0.007399357201370901,0.10470131487818435,149.015625,362.28892731666565
73,2463,128,1.0,15.0,0.15903004741994664,0.06129913267795928,0.01290912861304605,0.007185171245509991,0.007367937218932526,0.104527244460769,149.03125,361.7777326107025
74,2495,128,1.0,15.0,0.15498607128392905,0.061252843705005944,0.013177525405353663,0.007199913121439749,0.0072795977929651125,0.10449948988389224,149.07421875,361.3284511566162
75,2527,128,1.0,15.0,0.14926303341053426,0.06018509669229388,0.012468466472910222,0.00719454508725903,0.007179324149447589,0.10422794159967452,149.13671875,363.4311172962189
76,2559,128,1.0,15.0,0.1542242972063832,0.06205876573221758,0.012741501055188564,0.007328249659622088,0.007448113569015879,0.10431620135204867,149.171875,360.6898648738861
