wall_time_s,elapsed_min,completed_total,window_episode_count,checkpoint_count,latest_checkpoint,train_episode_count,train_success_rate,train_survival_ratio_mean,train_v_fwd_mean_mean,train_v_fwd_rmse_mean,train_yaw_drift_abs_final_mean,train_yaw_rate_abs_mean_mean,train_roll_rms_mean,train_pitch_rms_mean,train_tilt_rms_mean,train_vertical_bounce_rms_mean,train_contact_continuity_score_mean,train_diag_support_asym_score_mean,train_swing_scuff_count_mean,train_residual_rms_mean,train_residual_rate_rms_mean,train_joint_vel_rms_mean,train_return_total_mean
1776658780.5745862,0.666941241423289,16,16,1,model_0.pt,16,0.9375,1.0,0.10558469966053963,0.20991245657205582,0.04886311769223539,0.030189547804184258,0.018122135021258146,0.01398978551151231,0.02294660200887949,0.12271501310169697,0.4538888894021511,0.7518750056624413,135.328125,0.403163967654109,0.3032267577946186,0.45297953486442566,149.0517430305481
1776658800.583749,1.000427289803823,32,32,1,model_0.pt,32,0.96875,1.0,0.11286893556825817,0.20407791761681437,0.042115079380891984,0.027791621396318078,0.017679502459941432,0.014084473019465804,0.022677081179688273,0.12339084059931338,0.4531944449990988,0.7541319467127323,135.546875,0.407018443569541,0.3036822285503149,0.4517483050003648,159.98175597190857
1776658820.592801,1.3339114904403686,48,48,1,model_0.pt,48,0.9791666666666666,1.0,0.11962295618529122,0.19737448915839195,0.04303733482326303,0.026940962959391374,0.016942421478840213,0.013127140720219662,0.02150397623508864,0.12305496058737238,0.45664351992309093,0.758101853231589,135.99479166666666,0.4101627574612697,0.3035493915279706,0.44938004948198795,164.00780200958252
1776658840.6070368,1.6674820860226949,64,64,1,model_0.pt,64,0.984375,1.0,0.12583908322267234,0.19445729721337557,0.043269928622976295,0.025918193598045036,0.016485232787090354,0.012933233796502464,0.021035901540908054,0.12274486571550369,0.45734375063329935,0.7585243061184883,136.1015625,0.41255919821560383,0.30343512957915664,0.45112750167027116,168.89311957359314
1776658860.6199212,2.001030158996582,80,80,1,model_0.pt,80,0.9875,1.0,0.12977362275123597,0.18939069155603647,0.04066531218013551,0.025222628726623952,0.01585954036563635,0.012689497496467084,0.020402733184007947,0.12229242427274585,0.45963888950645926,0.760041668266058,136.121875,0.41561945527791977,0.30332521721720695,0.45121682435274124,175.94565143585206
1776658880.6607606,2.3350441495577496,96,96,1,model_0.pt,96,0.9895833333333334,1.0,0.13169637493168315,0.1853160037038227,0.0376012898332192,0.02475742402020842,0.015437615453265607,0.012408121207651371,0.01990178277717357,0.12200134340673685,0.46076388967533904,0.7604050934314728,136.2109375,0.4198575795938571,0.3032751123731335,0.4496281035244465,182.00653171539307
1776658900.6682658,2.6685025691986084,112,112,1,model_0.pt,112,0.9910714285714286,1.0,0.1314815034025482,0.1816902087469186,0.036206870455446606,0.024356921918557158,0.014976781535161925,0.012016695554068844,0.0192881025664256,0.12162502968151655,0.46184523882610456,0.7617063495729651,136.33928571428572,0.4238423564072166,0.3031999514039074,0.4474439024925232,187.0255685533796
1776658920.6778193,3.0019951264063516,128,128,1,model_0.pt,128,0.9921875,1.0,0.13232590432744473,0.17898344108834863,0.03652732213890886,0.024110560872941278,0.014634081795520615,0.011711614351952448,0.018824558420487074,0.12171825557015836,0.4625954865477979,0.7632378474809229,136.548828125,0.42652701353654265,0.30319607676938176,0.44611089187674224,189.37779188156128
1776658940.6994648,3.3356892188390095,144,128,1,model_0.pt,128,1.0,1.0,0.1371065404964611,0.1746966812061146,0.03451749359396672,0.02300572926469613,0.013839295759680681,0.011181888032297138,0.017868888247666335,0.12153807777212933,0.464852430857718,0.7655295133590698,136.876953125,0.4330623187124729,0.30310941161587834,0.4432535977102816,196.05914574861526
1776658960.7178738,3.6693293690681457,160,128,1,model_0.pt,128,1.0,1.0,0.1421391645562835,0.16878999746404588,0.033697632519988474,0.022446061848313548,0.013130427250871435,0.010540064009546768,0.01690848235080247,0.12100653181551024,0.4669965277425945,0.7672222210094333,137.169921875,0.44026456610299647,0.302839326672256,0.44008687138557434,203.34966677427292
