env_id,success,done_reason_code,done_reason,duration_sec,survival_ratio,v_cmd_mean,v_fwd_mean,v_fwd_rmse,yaw_drift_abs_final,yaw_rate_abs_mean,roll_rms,pitch_rms,tilt_rms,vertical_bounce_rms,base_z_min,contact_continuity_score,diag_support_asym_score,swing_scuff_count,residual_rms,residual_rate_rms,joint_vel_rms,return_total,completed_episode_index,completed_wall_time_s
0,1,1,timeout,15.0,1.0,0.13686035573482513,0.11192446202039719,0.16392047703266144,0.08169928193092346,0.029614659026265144,0.014586557634174824,0.01234007254242897,0.01910615225437904,0.1236763745546341,0.8671373724937439,0.4588888883590698,0.757777750492096,136.75,0.3946886360645294,0.3014516830444336,0.4452472925186157,181.98338317871094,0,1776658762.398129
1,1,1,timeout,15.0,1.0,0.10417811572551727,0.0988520085811615,0.2160920947790146,0.09814228862524033,0.03465937823057175,0.01841537095606327,0.01394177507609129,0.023097596838670013,0.1262696087360382,0.8679429888725281,0.4122222363948822,0.7300000190734863,130.5,0.4044840335845947,0.3000372648239136,0.46283072233200073,109.22245788574219,1,1776658762.398129
2,1,1,timeout,15.0,1.0,0.19251753389835358,0.11626193672418594,0.18949145078659058,0.06785745173692703,0.02713603898882866,0.016364825889468193,0.01501905731856823,0.022212150033957684,0.12358792126178741,0.8652536869049072,0.47333332896232605,0.7688888907432556,138.0,0.40592917799949646,0.30343514680862427,0.4520866572856903,163.24574279785156,2,1776658762.398129
3,1,1,timeout,15.0,1.0,0.11260999739170074,0.11053477227687836,0.2248370498418808,0.037532657384872437,0.03260865807533264,0.019710255786776543,0.014987833797931671,0.02476144876889438,0.12129996716976166,0.8604881763458252,0.45444443821907043,0.7344444394111633,132.25,0.4097757637500763,0.30330222845077515,0.45411545038223267,162.6058349609375,3,1776658762.398129
4,1,1,timeout,15.0,1.0,0.18881161510944366,0.13301163911819458,0.19407574832439423,0.055680789053440094,0.027624264359474182,0.01828843168914318,0.011397327296435833,0.02154914854815702,0.12601742148399353,0.8648586869239807,0.4566666781902313,0.7511110901832581,139.5,0.39581140875816345,0.30401769280433655,0.4430878162384033,159.20849609375,4,1776658762.398129
5,1,1,timeout,15.0,1.0,0.12204338610172272,0.09795723855495453,0.20491063594818115,0.004993826150894165,0.03450525179505348,0.018204251304268837,0.014071516692638397,0.023008745024015863,0.12125184386968613,0.8703131675720215,0.44555556774139404,0.754444420337677,135.5,0.40425124764442444,0.30214759707450867,0.4575522840023041,145.6712188720703,5,1776658762.398129
6,1,1,timeout,15.0,1.0,0.19489915668964386,0.10778289288282394,0.22422531247138977,0.08582860231399536,0.030151139944791794,0.015810275450348854,0.014982099644839764,0.02178137092985222,0.12168816477060318,0.8647533655166626,0.47555556893348694,0.7555555701255798,138.5,0.39918750524520874,0.3032170534133911,0.46275120973587036,141.24647521972656,6,1776658762.398129
7,1,1,timeout,15.0,1.0,0.15130086243152618,0.10345743596553802,0.21198730170726776,0.023744715377688408,0.030709799379110336,0.01928674429655075,0.012634235434234142,0.023056504734416935,0.12366518378257751,0.8668991327285767,0.4444444477558136,0.742222249507904,131.75,0.39925438165664673,0.30417749285697937,0.4538000226020813,153.43792724609375,7,1776658762.398129
8,1,1,timeout,15.0,1.0,0.14144569635391235,0.10021870583295822,0.22074788808822632,0.02813747152686119,0.03240462765097618,0.022907329723238945,0.01649189367890358,0.02822637617841593,0.12002445012331009,0.8645492196083069,0.4300000071525574,0.7111111283302307,129.5,0.4071864187717438,0.3032872676849365,0.4568118453025818,141.1389923095703,8,1776658762.398129
9,1,1,timeout,15.0,1.0,0.2349286526441574,0.12747089564800262,0.19708310067653656,0.020431753247976303,0.027249323204159737,0.017667260020971298,0.014624599367380142,0.022934929328536996,0.12022195756435394,0.8699415326118469,0.4677777886390686,0.7644444704055786,138.0,0.40179839730262756,0.3039807379245758,0.45782575011253357,153.5164337158203,9,1776658762.398129
