pt,ep,n,succ,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
13,479,128,1.0,15.0,0.1310226056957617,0.1368949517491273,0.0211236728741823,0.018454121571267,0.012925778345553,0.1192443961044773,135.62109375,246.43354070186612
14,511,128,1.0,15.0,0.1333613970782607,0.1316871786839328,0.02123441806566,0.0181238859440782,0.0127575195335941,0.1187128096935339,134.970703125,252.93254566192627
15,543,128,1.0,15.0,0.1363842200371436,0.1275396967539563,0.0198396285702529,0.0177738353959284,0.0125647958684464,0.1179698670166544,134.615234375,258.30649292469025
16,575,128,1.0,15.0,0.1383508832077495,0.1243495133821852,0.0172535063677514,0.0174768735741963,0.0124510088609442,0.1173359588719904,134.5234375,263.47358191013336
17,607,128,1.0,15.0,0.1398274630773812,0.1198329563485458,0.0178329832554027,0.0173686384514439,0.0123901593760552,0.1169875778723508,134.552734375,270.00171315670013
18,639,128,1.0,15.0,0.1411525331786833,0.117667399754282,0.0180727658944306,0.0170949260646011,0.012328124943516,0.1162374661653302,134.49609375,273.19766426086426
19,671,128,1.0,15.0,0.1435008366242982,0.1161706932471133,0.018114475468792,0.0168110902741318,0.0121765147495147,0.1153527387650683,134.796875,276.0355195999145
20,703,128,1.0,15.0,0.1449598837061785,0.112803058756981,0.0198337916026503,0.0167567478638375,0.0120717860913621,0.1147521637612953,134.939453125,279.2882961034775
21,735,128,1.0,15.0,0.1464646735112182,0.1100437511340715,0.0196089404907979,0.0164922354670125,0.0117622239476473,0.1137186603154987,135.046875,282.73941707611084
22,767,128,1.0,15.0,0.1468600548687391,0.1053978066192939,0.019036290468648,0.0163192180843907,0.0116009027734488,0.113171191944275,135.310546875,288.2501531839371
23,831,128,1.0,15.0,0.1430074832169339,0.0973789059207774,0.0196407207370157,0.0163828962613479,0.0117602282822851,0.1124414353398606,135.375,297.25838601589203
24,863,128,1.0,15.0,0.1458256638725288,0.0960308992653153,0.0192652779116997,0.0159947444917634,0.0115616019594716,0.1119494521408341,135.572265625,299.99023139476776
25,895,128,1.0,15.0,0.1468507259269245,0.095189471845515,0.0201344352847172,0.0157801742752781,0.0114616634470481,0.1114631861564703,135.505859375,301.58224165439606
26,927,128,1.0,15.0,0.1509949859464541,0.0946194911375641,0.021030028792893,0.0155148370176902,0.0110924892707641,0.1104221355635672,135.4921875,303.8487743139267
27,959,128,1.0,15.0,0.1533852605498395,0.0931553413975052,0.0208310677426197,0.0148929596252855,0.0109724826097584,0.1104420035844668,135.955078125,306.68320989608765
28,991,128,1.0,15.0,0.150349537609145,0.0904856360284611,0.0242507150123856,0.0147768656097468,0.0110608963668848,0.1103140023187734,136.373046875,307.4306645393372
29,1023,128,1.0,15.0,0.1505427123047411,0.0874442110070958,0.0246060992726597,0.014421182051592,0.010785335353072,0.1100019330042414,136.9609375,311.42371344566345
30,1055,128,1.0,15.0,0.1527725415071472,0.0868998515070416,0.0235696579552495,0.0138161920185666,0.0105581935038815,0.1098222337896004,137.625,312.7373192310333
31,1087,128,1.0,15.0,0.1501686943811364,0.083915076975245,0.0255413430172666,0.013740588001383,0.0106103119016351,0.1095240535214543,137.48828125,315.6105086803436
32,1119,128,1.0,15.0,0.1522573822294362,0.0832414199248887,0.0239739372868825,0.0132922720149508,0.0103271513764884,0.1091942086932249,137.59765625,318.92094445228577
33,1151,128,1.0,15.0,0.1527576259686611,0.0829169024946168,0.0238764571031424,0.0130272397618682,0.0102550037459754,0.1090200570179149,137.673828125,319.4748303890228
34,1183,128,1.0,15.0,0.1518514025374315,0.0827314237249083,0.0232327312417055,0.0128416859915887,0.0099326112927676,0.1088197011267766,137.39453125,321.91593527793884
35,1215,128,1.0,15.0,0.1574065352906473,0.0842578303418122,0.0201008506171547,0.0123511328565655,0.0093341227267404,0.1083519736421294,137.697265625,323.8425328731537
36,1247,128,1.0,15.0,0.1548333536484278,0.0832555938395671,0.0194108650541693,0.0125207179480639,0.0095375002170088,0.1083324350183829,137.525390625,324.87272930145264
37,1279,128,1.0,15.0,0.1547525150235742,0.0823782206280157,0.0173301607671874,0.012575515138451,0.0094329864279523,0.107880659692455,137.40234375,327.71548342704773
38,1311,128,1.0,15.0,0.1592017507064156,0.0822171977488324,0.0160567153568536,0.0122899659654649,0.0091552913606343,0.107620146300178,138.08203125,328.6516573429108
39,1375,128,1.0,15.0,0.1606237503001466,0.0810405858792364,0.0145605934073955,0.0122020356320717,0.0088276635672085,0.1070812102407217,138.8828125,330.8588614463806
40,1407,128,1.0,15.0,0.1612907950184308,0.0813525114790536,0.0152213783835577,0.0123009852613904,0.0087448522743267,0.107122482790146,139.099609375,329.4837086200714
41,1439,128,1.0,15.0,0.1560832355171442,0.0789070032769814,0.0170498366298943,0.0128155516104015,0.0089097877723427,0.1070283175213262,138.4375,330.8136978149414
42,1471,128,1.0,15.0,0.1589825702249072,0.0782199300010688,0.0170275218854385,0.0124194238087511,0.0085620335267144,0.1066382364952005,138.765625,333.1055369377136
43,1503,128,1.0,15.0,0.1580490922788158,0.0777510227635502,0.0171650845782096,0.0123184218355163,0.0083874024455069,0.1065114457160234,138.615234375,333.3486633300781
44,1535,128,1.0,15.0,0.1585590852773748,0.0788574402104131,0.0159273201627456,0.0119078746902232,0.0080578844069171,0.1062254547723569,138.63671875,333.5079188346863
45,1567,128,1.0,15.0,0.1598849892616272,0.0809829219360835,0.0146147064365322,0.0114091010364063,0.0078953100753385,0.105912237195298,138.65625,332.7005295753479
46,1599,128,1.0,15.0,0.158768999914173,0.0826443581026978,0.0142008628531584,0.0114320074499119,0.0078901031369663,0.1059518308611586,138.27734375,330.0124855041504
47,1631,128,1.0,15.0,0.1597740097204223,0.0829246034845709,0.0143821377998847,0.0112146861611108,0.0078009270380545,0.1059477000380866,138.046875,330.9705593585968
48,1663,128,1.0,15.0,0.1576105706626549,0.0807524178526364,0.0145660904038322,0.0116118552214175,0.0079095520306533,0.106042468745727,137.01171875,333.94009256362915
49,1695,128,1.0,15.0,0.1563672917545773,0.0784267931012436,0.015363575583251,0.0120283688447671,0.0078440966577995,0.1060515486751683,135.919921875,337.09846115112305
50,1727,128,1.0,15.0,0.1573066709097474,0.0780614556570071,0.0169660503052,0.0121071368703269,0.0077091396092348,0.1057742546545341,135.2421875,338.0113582611084
51,1759,128,1.0,15.0,0.1585953720496036,0.0764142144180368,0.017877301252156,0.0121915508825622,0.0075967768972602,0.1051868078648112,134.931640625,340.250283241272
52,1791,128,1.0,15.0,0.1634917047922499,0.0772874396352563,0.0183721222513213,0.0116887224503443,0.0072571926950151,0.1047186091891489,135.9296875,340.48079800605774
53,1855,128,1.0,15.0,0.1651350258034654,0.0783428978757001,0.0174551509949196,0.0112644557266321,0.006811566562205,0.104335737240035,136.685546875,340.45149993896484
54,1887,128,1.0,15.0,0.1612737231771461,0.0779883195355068,0.0165463988957981,0.0114973042072961,0.0067480200750226,0.1049077936331741,135.83203125,341.21596693992615
55,1919,128,1.0,15.0,0.1579229054332245,0.0774231168325059,0.0166925335247469,0.0116462983896781,0.0066823737690766,0.1051404851023107,135.169921875,341.89821195602417
56,1951,128,1.0,15.0,0.1541391178325284,0.0751819263387005,0.0156528815130059,0.0119726983684813,0.0067550799954498,0.105049955076538,134.259765625,344.95268177986145
57,1983,128,1.0,15.0,0.1538321737025398,0.0753244589141104,0.0138419265201719,0.0121876403973146,0.0067666650797021,0.1048337037791498,134.26953125,345.61438965797424
58,2015,128,1.0,15.0,0.1534744781383779,0.0762729253037832,0.0142311825800334,0.0122866802448697,0.0067877038293668,0.1045034241396933,134.169921875,344.30855774879456
59,2047,128,1.0,15.0,0.1574546745978295,0.0775998496392276,0.0133299160186197,0.0119437472130812,0.0067298167615052,0.1041590257082134,134.4921875,344.2580802440644
60,2079,128,1.0,15.0,0.1630586311221122,0.0786265871138311,0.0141130165463891,0.0114789813706011,0.0065936361925931,0.1038790371967479,135.1171875,343.6540105342865
61,2111,128,1.0,15.0,0.1631573322229087,0.0768268442188855,0.0164133352488988,0.0114435612376837,0.0066643324742736,0.1040989953326061,134.58984375,344.5682532787323
62,2143,128,1.0,15.0,0.1617415429209359,0.0752471962186973,0.0164654206269005,0.0115804101042158,0.0066704952736681,0.1043964055133983,133.826171875,346.7581739425659
63,2175,128,1.0,15.0,0.1590396788087673,0.073425521783065,0.016723299380601,0.0118443455758097,0.0067155556877307,0.1046650183852762,132.95703125,348.5003616809845
64,2207,128,1.0,15.0,0.156527463463135,0.071938216133276,0.0163142679991779,0.0120343580238113,0.0067361143862466,0.1050405977875925,132.05078125,350.3473451137543
65,2239,128,1.0,15.0,0.1588976690545678,0.0724457191536203,0.0143037552950318,0.0117669355895486,0.0065823184376156,0.1050918375258334,132.34375,351.64126467704773
66,2271,128,1.0,15.0,0.16241779824486,0.0723442885500844,0.0140421561616221,0.0114543928357306,0.0063967522280597,0.1046826241654343,132.703125,352.7715265750885
67,2303,128,1.0,15.0,0.1642373715294525,0.072040570405079,0.0141632943327749,0.011406233326852,0.0062883710708768,0.1044492698274552,132.6953125,353.4184808731079
68,2335,128,1.0,15.0,0.164301760320086,0.0726044248731341,0.0150049815401871,0.0114669479080475,0.0061780741237801,0.1044443009304814,132.443359375,352.3713138103485
69,2367,128,1.0,15.0,0.165149196749553,0.0728771326539572,0.0159625358382982,0.0114676323391904,0.0060085382597135,0.1041169334203004,132.052734375,352.4271528720856
