ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
27,1,timeout,15.0,0.12153246253728867,0.21010930836200714,0.02921508066356182,0.026056857779622078,0.018921038963522534,0.12201246619224548,135.5,159.2011260986328
28,0,timeout,15.0,0.10086872428655624,0.20132394134998322,0.13327321410179138,0.033714860677719116,0.01954636423715085,0.11940223723649979,138.0,112.46637725830078
29,1,timeout,15.0,0.10541664063930511,0.2019331306219101,0.047501347959041595,0.029782267287373543,0.023891835820576163,0.11923212558031082,130.5,167.95997619628906
30,1,timeout,15.0,0.10887165367603302,0.24053244292736053,0.06987786293029785,0.03866678848862648,0.03391088835669683,0.13048499822616577,131.25,146.1412353515625
31,1,timeout,15.0,0.12655265629291534,0.19931595027446747,0.00832131877541542,0.0319400317966938,0.01992760470439706,0.11771893501281738,136.25,172.17459106445312
32,1,timeout,15.0,0.13428740203380585,0.22167553007602692,0.00017597153782844543,0.02416832186281681,0.02166837874413099,0.12266051769256592,136.75,155.76048278808594
33,1,timeout,15.0,0.1286698281764984,0.17620603740215302,0.05967898666858673,0.024104204028844833,0.01784869070115989,0.12868203222751617,139.0,173.14004516601562
34,1,timeout,15.0,0.12147921323776245,0.18167243897914886,0.020855046808719635,0.023101484403014183,0.022677361822300086,0.12401647120714188,130.5,187.556396484375
35,1,timeout,15.0,0.11521858721971512,0.1672026515007019,0.019440393894910812,0.02492239885032177,0.018947149469011743,0.1204383373260498,131.25,192.45468139648438
36,1,timeout,15.0,0.11486537754535675,0.22677657008171082,0.0055413325317204,0.024104004725813866,0.01868931853868505,0.12641528248786926,134.25,166.48583984375
37,1,timeout,15.0,0.12168541550636292,0.18156932294368744,0.06686458736658096,0.024907538667321205,0.01860924396266013,0.1216328889131546,134.75,153.00906372070312
38,1,timeout,15.0,0.11341192573308945,0.16520820558071136,0.0444997102022171,0.022825395688414574,0.020256779380191513,0.12384200841188431,136.5,213.75018310546875
39,1,timeout,15.0,0.11474917829036713,0.16984006762504578,0.04525764286518097,0.02541232667863369,0.018212533367628493,0.12027772516012192,134.0,191.0597381591797
40,1,timeout,15.0,0.13902346789836884,0.19427484273910522,0.0012889872305095196,0.025533407926559448,0.018944818569929616,0.12151666730642319,133.75,205.63287353515625
41,1,timeout,15.0,0.12006878852844238,0.16857750713825226,0.014520524069666862,0.021746693179011345,0.019525643705831944,0.12202651053667068,134.75,192.28125
42,1,timeout,15.0,0.16151152551174164,0.18289805948734283,0.04797706380486488,0.024544641375541687,0.024890717668570816,0.12198846787214279,130.25,172.58514404296875
43,1,timeout,15.0,0.14826421439647675,0.17152360081672668,0.11539460718631744,0.022464919835329056,0.027253227883799372,0.12267352640628815,137.0,149.9775848388672
44,1,timeout,15.0,0.1350937783718109,0.19394245743751526,0.03103047050535679,0.024196308106184006,0.020763087250947807,0.12545911967754364,129.25,191.23898315429688
45,1,timeout,15.0,0.12478552013635635,0.1641635149717331,0.019976656883955002,0.026155216619372368,0.019918001491040577,0.1268680840730667,136.0,196.6200714111328
46,1,timeout,15.0,0.1223519966006279,0.17529845237731934,0.008596102707087994,0.029758967459201813,0.02155137440655987,0.11891362071037292,133.5,193.17324829101562
47,1,timeout,15.0,0.12133819609880447,0.18359512090682983,0.008072135038673878,0.020376786589622498,0.016790318365203262,0.12216011434793472,139.25,214.71290588378906
48,1,timeout,15.0,0.12852831184864044,0.16474579274654388,0.04200988635420799,0.023792358115315437,0.019603868196865742,0.12029487639665604,139.0,205.7374267578125
49,1,timeout,15.0,0.13544861972332,0.1862058788537979,0.046417586505413055,0.02406991459429264,0.021425650494137125,0.12750883400440216,139.0,190.96322631835938
50,1,timeout,15.0,0.12560509145259857,0.20826619863510132,0.06316301226615906,0.022681504487991333,0.01920577852715607,0.12002328038215637,137.5,153.57278442382812
51,1,timeout,15.0,0.12453518062829971,0.19133688509464264,0.02674882300198078,0.02331727370619774,0.020940436584311974,0.12651674449443817,138.5,184.24337768554688
52,0,timeout,15.0,0.12016566842794418,0.17296931147575378,0.16597333550453186,0.027076274156570435,0.020831315652155548,0.12506628036499023,136.75,143.65797424316406
53,1,timeout,15.0,0.12079200148582458,0.18144910037517548,0.002388496184721589,0.02685164473950863,0.01811444487775897,0.12308035790920258,136.0,188.5540313720703
54,1,timeout,15.0,0.12208596616983414,0.18699000775814056,0.003094419836997986,0.02502773515880108,0.020385783642795897,0.12796086072921753,137.25,194.57992553710938
55,1,timeout,15.0,0.11879685521125793,0.18875335156917572,0.10556621849536896,0.027112143114209175,0.021154397011383913,0.11742720007896423,133.75,159.57022094726562
56,1,timeout,15.0,0.12709885835647583,0.23038291931152344,0.03244735300540924,0.02478589303791523,0.02270911093300239,0.1212373822927475,134.5,170.30712890625
57,1,timeout,15.0,0.13184182345867157,0.1776423454284668,0.013151782564818859,0.021488839760422707,0.01642523547331754,0.11944110691547394,138.25,214.86705017089844
58,1,timeout,15.0,0.09747553616762161,0.18587122857570648,0.0002693906717468053,0.024612445384263992,0.018094982024561893,0.11893166601657867,132.25,194.79345703125
59,1,timeout,15.0,0.12493178993463516,0.1884525865316391,0.023283161222934723,0.028868207708001137,0.027214294899881333,0.12621372938156128,131.5,170.70245361328125
60,1,timeout,15.0,0.1248079165816307,0.17015694081783295,0.035610757768154144,0.025172799825668335,0.022630831544571215,0.1257457435131073,139.0,171.6971893310547
61,1,timeout,15.0,0.11155915260314941,0.17311878502368927,0.044649638235569,0.0261628869920969,0.029474901527954445,0.12841664254665375,134.0,189.717529296875
62,1,timeout,15.0,0.1310681700706482,0.21739418804645538,0.024970730766654015,0.02315407618880272,0.02622221907844692,0.12942230701446533,135.75,144.61070251464844
63,1,timeout,15.0,0.124965138733387,0.1664430797100067,0.07638044655323029,0.024153543636202812,0.017909494974428272,0.12088088691234589,138.5,212.09616088867188
