ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
1948,1,timeout,15.0,0.20244835317134857,0.08194787055253983,0.005002785008400679,0.008015205152332783,0.006847594497647069,0.11397634446620941,149.0,341.7799072265625
1949,1,timeout,15.0,0.19020363688468933,0.06886078417301178,0.006199220195412636,0.006902693770825863,0.00897045004880521,0.1039394959807396,148.75,351.19549560546875
1950,1,timeout,15.0,0.12159954011440277,0.058414507657289505,0.008117219433188438,0.00813732948154211,0.006161828817181819,0.10433994978666306,145.75,363.43743896484375
1951,1,timeout,15.0,0.18408189713954926,0.0739772841334343,0.0037541368510574102,0.0069307200610637665,0.007931020173948528,0.10407066345214844,149.75,352.61981201171875
1952,1,timeout,15.0,0.12085065245628357,0.052715979516506195,0.012362278997898102,0.007362069562077522,0.005773843281851994,0.10705076158046722,148.5,375.301025390625
1953,1,timeout,15.0,0.19958887994289398,0.07534616440534592,0.0012636197498068213,0.008045542053878307,0.008471266393527317,0.10425777733325958,148.5,349.00506591796875
1954,1,timeout,15.0,0.12877634167671204,0.04865897819399834,0.014523393474519253,0.006680447608232498,0.0060264052516550365,0.10327383130788803,148.5,378.8907470703125
1955,1,timeout,15.0,0.14263735711574554,0.05331963300704956,0.014817982912063599,0.006952175870537758,0.006365492499927529,0.10632380098104477,149.75,370.12939453125
1956,1,timeout,15.0,0.23824775218963623,0.08709139376878738,0.002025805413722992,0.007124482654035091,0.008345938543861566,0.10604261606931686,148.0,339.193603515625
1957,1,timeout,15.0,0.20105239748954773,0.07561623305082321,0.0073072649538517,0.006803157273679972,0.009068732523241684,0.1037808358669281,148.5,347.2879943847656
1958,1,timeout,15.0,0.21457967162132263,0.07515440881252289,0.005648471415042877,0.00938161090016365,0.009255745878354772,0.10359522700309753,149.75,345.9305114746094
1959,1,timeout,15.0,0.10740816593170166,0.05673888698220253,0.01172276958823204,0.008918870240449905,0.0061408580176182575,0.10226763039827347,149.0,368.90667724609375
1960,1,timeout,15.0,0.2424134463071823,0.0905112475156784,0.01740163005888462,0.00634845532476902,0.007370505152645967,0.10319048911333084,151.0,328.5567932128906
1961,1,timeout,15.0,0.1332044154405594,0.0491303987801075,0.01440529152750969,0.007073359098285437,0.00538817623364275,0.1050674170255661,148.5,376.541259765625
1962,1,timeout,15.0,0.17187902331352234,0.06956563889980316,0.011502183973789215,0.008414733223617077,0.008620141142486713,0.106590636074543,146.5,350.4844665527344
1963,1,timeout,15.0,0.12978576123714447,0.04746950790286064,0.010064677335321903,0.007500223815441132,0.005755859704272522,0.10140816867351532,149.5,379.6828918457031
1964,1,timeout,15.0,0.09672103077173233,0.06464489549398422,0.0267461147159338,0.011007408611476421,0.007314340031939091,0.10750821977853775,146.25,347.5348815917969
1965,1,timeout,15.0,0.14166595041751862,0.05065854266285896,0.014583947136998177,0.007983344607055187,0.005594513217362189,0.1049584224820137,148.75,373.4112854003906
1966,1,timeout,15.0,0.11013726890087128,0.05587522312998772,0.03099730610847473,0.009354766458272934,0.006924509192551918,0.10558155924081802,149.0,355.9588317871094
1967,1,timeout,15.0,0.14788979291915894,0.05090100318193436,0.008395953103899956,0.008703868836164474,0.006738779716896317,0.10535939782857895,149.25,370.4978942871094
1968,1,timeout,15.0,0.10774459689855576,0.06228306517004967,0.013333561830222607,0.008658272214233875,0.006527837348890429,0.10378286242485046,146.5,360.46270751953125
1969,1,timeout,15.0,0.14769472181797028,0.052275899797677994,0.002582598477602005,0.007160556968301535,0.006560322571341604,0.10637686401605606,149.75,372.3261413574219
