step,t,v_cmd,v_fwd_body,yaw,yaw_rate,roll,pitch,base_z,reward_total,contact_count,contact_force_max,toe_z_min_b,residual_norm,q_delta_norm,pad_sink_max,pad_sink_mean,pad_top_z,done_reason,terminated,timeout
0,0.03333333507180214,0.258494108915329,-0.004114337731152773,-0.0006667794659733772,-0.020091116428375244,0.00099471234716475,0.0010066353715956211,1.083581566810608,-0.17162612080574036,0,9.999999974752427e-07,-0.36737456917762756,0.07557298243045807,0.007542431354522705,0.05688392370939255,0.0096780089661479,0.1596997231245041,running,0,0
1,0.06666667014360428,0.258494108915329,0.00046846354962326586,-0.0013205548748373985,-0.01972915604710579,0.002504257718101144,0.002002017805352807,1.0661453008651733,-0.7085124254226685,0,9.999999974752427e-07,-0.3654414713382721,0.3021036684513092,0.0301698949187994,0.05131223425269127,0.009850752539932728,0.16265705227851868,running,0,0
2,0.10000000894069672,0.258494108915329,0.0027310128789395094,-0.00196232832968235,-0.019453011453151703,0.004502946510910988,0.002994394861161709,1.037699580192566,-1.2623648643493652,0,9.999999974752427e-07,-0.3632349967956543,0.5668344497680664,0.056568533182144165,0.05394522845745087,0.009977217763662338,0.1641772985458374,running,0,0
3,0.13333334028720856,0.258494108915329,-0.07118378579616547,-0.003335881745442748,0.004559573717415333,0.007426742929965258,-0.003631630912423134,1.0089538097381592,0.12352972477674484,0,9.999999974752427e-07,-0.3609704375267029,0.7253798246383667,0.0723448246717453,0.05466513708233833,0.010115367360413074,0.1645175665616989,running,0,0
4,0.1666666716337204,0.258494108915329,0.04748416692018509,-0.00282135047018528,0.00023807630350347608,0.004391591064631939,-0.009688351303339005,1.0086724758148193,0.2855185270309448,0,9.999999974752427e-07,-0.3595259189605713,0.9182703495025635,0.09148620069026947,0.05417007952928543,0.010279619134962559,0.16406822204589844,running,0,0
5,0.20000000298023224,0.258494108915329,0.09534229338169098,-0.0027264493983238935,0.008960415609180927,0.0039122579619288445,-0.011464569717645645,1.008670449256897,0.405697762966156,0,9.999999974752427e-07,-0.359944611787796,0.9759305119514465,0.09690863639116287,0.05331761762499809,0.010435211472213268,0.16349054872989655,running,0,0
6,0.23333333432674408,0.258494108915329,0.15521380305290222,-0.0019652293995022774,0.02570316754281521,0.003810309572145343,-0.012158148922026157,1.0082651376724243,0.6129164099693298,0,9.999999974752427e-07,-0.3600972592830658,1.084969401359558,0.10728346556425095,0.05262439697980881,0.01056342851370573,0.1627943366765976,running,0,0
7,0.2666666805744171,0.258494108915329,0.21932704746723175,-0.001217322307638824,0.00956075917929411,0.003657713532447815,-0.012676370330154896,1.0077325105667114,0.8741356134414673,0,9.999999974752427e-07,-0.36263564229011536,1.2220367193222046,0.12024030089378357,0.05231243371963501,0.01064313668757677,0.16245394945144653,running,0,0
8,0.30000001192092896,0.258494108915329,0.27782613039016724,-0.0010184058919548988,0.0009032698580995202,0.0034974757581949234,-0.012744744308292866,1.0069977045059204,0.9461679458618164,0,9.999999974752427e-07,-0.36868584156036377,1.3839929103851318,0.13544762134552002,0.052179910242557526,0.01068288553506136,0.16183777153491974,running,0,0
9,0.3333333432674408,0.258494108915329,0.26376786828041077,0.00029465093393810093,0.06614496558904648,0.0021294865291565657,-0.013357028365135193,1.0064481496810913,0.7906964421272278,0,9.999999974752427e-07,-0.3761400878429413,1.5094257593154907,0.14658385515213013,0.052026133984327316,0.010694446973502636,0.1612403392791748,running,0,0
10,0.36666667461395264,0.258494108915329,0.23602500557899475,0.0037671364843845367,0.11177149415016174,0.002962755737826228,-0.01275276206433773,1.0058865547180176,0.6780902743339539,0,9.999999974752427e-07,-0.38102906942367554,1.471711277961731,0.14026512205600739,0.05199068784713745,0.010693438351154327,0.1608458012342453,running,0,0
11,0.4000000059604645,0.258494108915329,0.2563517093658447,0.005306356120854616,-0.00029622341389767826,0.005520461592823267,-0.009788600727915764,1.0050787925720215,0.956169605255127,0,9.999999974752427e-07,-0.3820262551307678,1.6457306146621704,0.15662434697151184,0.05216001346707344,0.01068885438144207,0.16072705388069153,running,0,0
12,0.4333333373069763,0.258494108915329,0.29391810297966003,0.005750434007495642,0.0003466985945124179,0.004681791178882122,-0.005984138697385788,1.0046870708465576,0.9074790477752686,0,9.999999974752427e-07,-0.3800537884235382,1.9849510192871094,0.18899697065353394,0.052868470549583435,0.010680601932108402,0.16087470948696136,running,0,0
13,0.46666666865348816,0.258494108915329,0.2884173095226288,0.007447167299687862,0.10284960269927979,0.002690801862627268,-0.005977313965559006,1.0040932893753052,0.7115578651428223,0,9.999999974752427e-07,-0.3771089017391205,1.8815321922302246,0.17521432042121887,0.05349259078502655,0.010672732256352901,0.16123197972774506,running,0,0
14,0.5,0.258494108915329,0.2313321828842163,0.010611689649522305,0.09819268435239792,-8.162116500898264e-06,-0.007965119555592537,1.001406192779541,0.6911314129829407,0,9.999999974752427e-07,-0.3709438741207123,1.8690732717514038,0.17272861301898956,0.05402905493974686,0.010668241418898106,0.16172058880329132,running,0,0
15,0.5333333611488342,0.258494108915329,0.21756279468536377,0.010340922512114048,-0.02597072906792164,0.0016208202578127384,-0.009025727398693562,1.000626564025879,0.8331693410873413,0,9.999999974752427e-07,-0.362311989068985,1.98850679397583,0.1861175000667572,0.0544927716255188,0.010668186470866203,0.16225968301296234,running,0,0
16,0.5666667222976685,0.258494108915329,0.20977266132831573,0.00836546067148447,-0.0698462724685669,0.003978413995355368,-0.0061759487725794315,0.9996099472045898,0.7467908263206482,0,9.999999974752427e-07,-0.355011522769928,2.293250560760498,0.21859708428382874,0.05512086674571037,0.010674048215150833,0.16277803480625153,running,0,0
